"treeid" "diam.initial" "diam.final" "treatment"
66 16.40103319 23.2849186 0
67 16.96478487 22.14288226 0
68 4.817840127 NA 0
69 14.12598161 16.60675211 0
70 14.93570662 17.17227605 0
71 2.774078029 NA 0
72 7.312540603 NA 0
73 20.4562112 29.16381636 0
74 4.649069274 NA 0
75 5.47577372 NA 0
76 21.54348019 28.54328677 0
77 11.09844553 14.18895279 0
78 4.308901425 NA 0
79 21.14889503 28.66847621 0
80 13.06872939 17.58402144 0
81 22.93826296 31.32807473 0
82 6.40981143 NA 0
83 19.12000304 25.383494 0
84 17.78605487 21.3702528 0
85 16.54331349 21.07026953 0
86 12.35258725 14.00476611 0
87 5.605102406 NA 0
88 2.806961995 NA 0
89 16.40156075 20.39233524 0
90 13.70910216 16.85349485 0
91 20.13802953 25.27317149 0
92 6.288290502 NA 0
93 19.85957555 27.54332291 0
94 15.96901334 22.92185342 0
95 10.4835948 13.0878797 0
96 9.923247296 10.91847257 0
97 22.34061031 29.27887174 0
98 2.967986822 NA 0
99 6.166529562 NA 0
100 14.54359908 20.64604279 0
101 20.70879917 28.4544347 0
102 18.05636456 24.30616359 0
103 13.5502149 17.5009178 0
104 2.383913704 NA 0
105 2.900388049 NA 0
106 20.23365243 26.52154651 1
107 13.24025675 14.88803246 1
108 15.45371539 15.73431878 1
109 6.141309393 NA 1
110 2.581930388 NA 1
111 24.98281122 32.00908081 1
112 3.634544451 NA 1
113 19.42573834 27.97805787 1
114 7.560130464 NA 1
115 26.88460506 34.1860153 1
116 24.77418243 29.87236108 1
117 17.87229936 23.81892716 1
118 17.20185906 22.58012061 1
119 20.84736916 28.49391046 1
120 11.5790582 12.89419999 1
121 20.65459304 27.9377115 1
122 4.432939217 NA 1
123 20.48416945 29.49415892 1
124 21.12054228 28.77091892 1
125 4.736634308 NA 1
126 15.66788603 18.15155995 1
127 19.66741512 28.18126359 1
128 14.73482066 20.88916995 1
129 5.111363753 NA 1
130 17.51035216 25.35573819 1
131 22.53465512 27.80987983 1
132 15.25497862 16.89567848 1
133 18.46942782 24.94303176 1
134 18.43486798 23.05168402 1
135 13.6072375 19.30936788 1
136 11.17283345 12.59015416 1
137 11.49170588 NA 1
138 25.01936597 33.16746702 1
139 16.73362706 21.25435832 1
140 5.198863106 NA 1
141 11.45210631 13.84240306 1
142 18.11779911 26.08908379 1
143 17.99934862 26.74579646 1
144 17.7193903 NA 1
145 18.96975566 25.38515096 1
146 7.55205614 NA 1
147 21.55009973 29.07997357 1
148 17.45931781 26.07393828 1
149 19.8731942 28.40010903 1
150 16.29690794 NA 1
151 16.75207554 24.48807241 1
152 10.41039245 18.75934094 1
153 2.384127058 NA 1
154 3.213787028 NA 1
155 20.19685074 28.35436558 1
156 20.60722969 27.96608942 1
157 18.08400167 24.3972789 1
158 14.84869715 17.70895337 1
159 16.55575293 21.44443689 1
160 14.37513208 17.15289335 1
161 8.134203547 NA 1
162 8.771497894 9.51058017 1
163 2.465121874 NA 1
164 17.9647601 26.32171685 1
165 18.38092734 25.77550603 1
166 20.17833885 28.59368822 1
167 9.856170163 NA 1
168 12.72133776 NA 1
169 19.31205232 27.73185348 1
170 20.72729847 28.7948204 1
171 6.320376329 11.10266824 1
172 5.364182651 NA 1
173 22.34677086 30.85851454 1
174 15.52772057 23.4542944 1
175 20.04863028 28.44456903 1
176 9.839281177 NA 1
177 18.09417411 22.30654731 1
178 22.4656662 28.40049812 1
179 21.03239383 24.40912577 1
180 21.21730444 25.99164146 1
181 22.24976017 30.15268019 1
182 17.11178207 18.49633798 1
183 15.24077501 20.34460297 1
184 24.64549782 31.7598999 1
185 3.277196346 NA 1
186 21.06209438 27.85242234 1
187 22.24609459 30.14165931 1
188 21.46601619 29.50649739 1
189 21.66521602 25.63409295 1
190 17.73704094 20.61681889 1
191 28.33259553 35.89687713 1
192 16.07485124 17.8944007 1
193 3.759104872 NA 1
194 9.781493322 NA 1
195 5.760843003 NA 1
196 20.70864558 29.12496298 1
197 21.64591269 29.54494384 1
198 8.510939411 NA 1
199 21.54420763 29.45422793 1
200 15.29259111 17.6948839 1
201 24.61669716 32.80806554 1
202 18.21940752 24.58628203 1
203 15.98118576 18.98230809 1
204 23.32021067 29.70717696 1
205 19.71682445 23.26246223 1
206 17.6831152 25.28699015 1
207 3.453255904 NA 1
208 22.7149894 29.13505913 1
209 18.69065043 25.36387667 1
210 16.33053617 18.11340354 1
211 16.1215076 18.6009812 1
212 20.01543426 27.77511871 1
213 19.16612783 21.50506253 1
214 7.127472001 NA 1
215 16.99355647 22.04842768 1
216 17.89397141 21.81461965 1
217 9.216192893 NA 1
218 14.2420173 18.93908224 1
219 12.00600974 NA 1
220 16.6452786 22.24947016 1
221 20.52089991 26.95813803 1
222 4.528969464 NA 1
223 16.27483942 21.49978693 1
224 20.949069 27.61914745 1
225 17.47182431 25.43933663 1
226 13.97178118 19.24710112 1
227 12.2158296 16.05435042 1
228 18.62696339 23.15212252 1
229 14.02738465 18.47681784 1
230 13.5356599 NA 1
231 14.7623171 18.07269409 1
232 10.50433253 NA 1
233 10.78416459 NA 1
234 11.52726318 NA 1
235 20.86940352 28.06445463 1
236 21.05003777 27.39828403 1
237 12.52149545 16.27802805 1
238 7.121537818 NA 1
239 4.378192532 NA 1
240 11.10489537 13.7805244 1
241 18.6765596 24.10747225 1
242 18.66006975 25.52703869 1
243 10.99533255 NA 1
244 13.73887327 15.30446669 1
245 14.90694059 19.61033485 1
246 10.64327696 NA 1
247 6.27106404 NA 1
248 17.79616895 22.367492 1
249 16.37083063 22.49578258 1
250 12.51612317 13.44622885 1
251 6.42828489 NA 1
252 19.96985827 25.21289507 1
253 18.30117709 22.09549271 1
254 20.60717867 28.6510047 1
255 19.89162255 27.68289038 1
256 17.64519465 20.96625665 1
257 14.60397849 18.89972645 1
258 13.18859611 15.89781265 1
259 6.696446816 NA 1
260 17.10542221 22.17018151 1
261 6.528199549 NA 1
262 16.50688278 21.9257176 1
263 10.30447442 NA 1
264 22.57041411 30.08247039 1
265 23.40493698 28.87556411 1
266 13.59138946 14.92748315 1
267 14.11470644 17.91719093 1
268 20.51401221 28.50729935 1
269 20.18790866 25.19162256 1
270 12.60690678 14.40451505 1
271 18.14728281 22.14131305 1
272 17.76533057 25.30872821 1
273 14.61408654 18.43255044 1
274 15.58600949 23.50299377 1
275 17.22613016 22.6566601 1
276 24.62815735 29.99158111 1
277 14.67572496 19.24169169 1
278 16.75232278 19.56716539 1
279 21.56447582 30.05176184 1
280 22.70576916 23.95261612 1
281 20.42362364 21.00900698 1
282 23.94590365 31.13571535 1
283 7.744911516 NA 1
284 5.824008549 NA 1
285 6.221036519 NA 1
286 17.98489762 23.27096145 1
287 12.79460978 16.35389211 1
288 4.626453761 NA 1
289 23.68699116 30.82670778 1
290 16.04586974 24.85601663 1
291 5.829715568 NA 1
292 11.99370574 NA 1
293 21.32826876 27.30646296 1
294 3.620287878 NA 1
295 22.19687684 28.65705729 1
296 8.907986516 NA 1
297 13.29290537 NA 1
298 18.67754042 23.23809896 1
299 19.44722308 26.44368984 1
300 23.08686111 29.63244346 1
301 20.60368337 26.55383053 1
302 17.58434946 22.71397919 1
303 4.260436481 NA 1
304 11.49823087 16.46250738 1
305 15.95771649 20.66475455 1
306 12.93610578 14.81288659 1
307 17.02409438 22.06159234 1
308 16.61258777 19.51260477 1
309 19.57650308 26.75067708 1
310 18.8003863 23.54129701 1
311 21.28255937 26.47045895 1
312 23.14395273 30.96523782 1
313 20.1143924 25.79529776 1
314 15.49640856 20.34142975 1
315 18.25870733 NA 1
316 16.03661098 18.15414614 1
317 3.707268307 NA 1
318 17.20938435 20.90197725 1
319 21.84737643 29.34050915 1
320 12.28195421 15.18770672 1
321 19.68477992 27.09027032 1
322 17.23501327 21.55459401 1
323 8.566255929 NA 1
324 15.24677275 18.36623428 1
325 7.945173285 NA 1
326 4.635222808 NA 1
327 8.177566896 9.023284052 1
328 10.4258015 10.81415283 1
329 11.57024147 14.46114152 1
330 7.35028126 NA 1
331 18.88252538 24.79192993 1
332 12.36548772 20.51609159 1
333 7.304447482 NA 1
334 16.98383038 17.27117046 1
335 11.0055741 14.24544033 1
336 11.89498124 14.17562377 1
337 14.86536222 16.6147789 1
338 20.76308017 27.91549137 1
339 18.20140143 24.95005613 1
340 16.98853198 20.49454228 1
341 14.23650482 15.90896992 1
342 14.02103669 17.98106403 1
343 16.60234267 22.22229369 1
344 19.16791124 23.65176987 1
345 12.71959119 14.37838679 1
346 19.57399248 23.97807608 1
347 16.75413704 22.99548896 1
348 19.63258748 27.18173685 1
349 18.13643918 22.38791239 1
350 9.201242881 9.470909116 1
351 18.03795943 24.31517579 1
352 19.86053948 24.99516956 1
353 12.75721641 15.06425464 1
354 20.17684101 26.66797011 1
355 15.20553877 21.8894998 1
356 17.64989116 20.63850274 1
357 11.43855248 11.70630582 1
358 22.96050152 27.5212759 1
359 14.60817947 17.83741386 1
360 19.32135239 23.74973236 1
361 17.08055163 21.48272016 1
362 11.44620597 14.57759993 1
363 18.70041139 24.31379415 1
364 17.47146381 23.34651161 1
365 15.51630459 18.59735448 1
366 10.13963682 12.76600525 1
367 16.83003611 21.3526191 1
368 13.30917159 15.65742495 1
369 9.34386488 NA 1
370 17.39673577 21.74466862 1
371 15.20497836 17.63102907 1
372 19.85290984 26.52924928 1
373 14.65468292 16.06329634 1
374 18.21859158 23.74572473 1
375 12.20407406 14.38295029 1
376 17.49435153 22.16939153 1
377 15.30513494 19.18702011 1
378 17.19943319 24.7913374 1
379 16.99215691 22.20436472 1
380 15.00641558 16.3368847 1
381 17.4385716 25.90618498 1
382 17.08613476 21.98138098 1
383 15.13690429 17.35577326 1
384 17.17778 20.19500253 1
385 14.06201132 14.97624889 1
386 18.47709842 24.37383828 1
387 17.51102623 21.641293 1
388 17.94519943 22.63051705 1
389 17.04363794 21.64640395 1
390 3.146354458 NA 1
391 16.48019122 24.40220688 1
392 10.33359111 NA 1
393 18.05189487 22.28101891 1
394 15.51721439 20.48299726 1
395 20.19569159 25.31386504 1
396 16.07566652 19.70222836 1
397 16.22081474 21.05756453 1
398 17.4806341 23.52715934 1
399 15.43737447 21.58554087 1
400 18.232056 23.85849087 1
401 15.81777596 19.99338679 1
402 13.28089184 18.39391742 1
403 11.89395974 15.06822214 1
404 9.12480209 NA 1
405 19.10877502 25.80074368 1
406 12.9106989 16.89335551 1
407 2.520496263 NA 1
408 17.5328874 21.70583759 1
409 16.29314039 21.30392076 1
410 16.99864996 22.00079764 1
411 5.437500377 NA 1
412 16.4889952 23.11090918 1
413 18.55000422 26.86574286 1
414 17.50995991 22.90021775 1
415 15.80784679 20.42737637 1
416 12.9483479 19.339046 1
417 13.54128775 16.37182599 1
418 5.065886651 NA 1
419 16.30258796 19.90338356 1
420 3.757523926 NA 1
421 16.8605948 20.65353375 1
422 17.56675197 23.58962264 1
423 19.21728428 21.19007599 0
424 13.22677025 13.69689205 0
425 18.11402351 18.82583784 0
426 5.947004091 NA 0
427 22.06751424 26.22289374 0
428 16.85412567 18.90994104 0
429 19.42827073 26.51188934 0
430 18.66214015 23.92528825 0
431 17.05157181 23.68873719 0
432 15.84246231 16.55082317 0
433 24.24012172 27.84159588 0
434 4.301372159 4.570226344 0
435 14.84724934 18.85262856 0
436 23.8888257 30.16069533 0
437 20.45624191 24.86177506 0
438 21.72810617 27.6064369 0
439 22.97647565 31.11645136 0
440 15.30504611 15.65286342 0
441 15.10450235 19.54130828 0
442 11.10831151 NA 0
443 7.287303049 NA 0
444 20.16048731 26.77671823 0
445 17.94387696 23.27240958 0
446 10.43529832 NA 0
447 17.93189352 20.12690598 0
448 21.40967653 26.34866722 0
449 21.96842511 28.15610615 0
450 11.29531268 12.96698527 0
451 23.84108176 27.86835281 0
452 15.96993256 20.30339945 0
453 12.04212366 14.55855355 0
454 14.31375997 NA 0
455 16.42288843 18.30955103 0
456 19.41948405 24.34802779 0
457 23.19353468 29.13974313 0
458 16.49629404 18.02262694 0
459 19.72101552 25.52912414 0
460 14.06596911 17.21829203 0
461 19.26099327 24.76497385 0
462 20.77673631 27.10898048 0
463 18.26099579 24.5602297 0
464 17.20685036 20.98538943 0
465 22.84757812 27.92415315 0
466 17.77992932 20.74991824 0
467 11.42197078 NA 0
468 21.67886732 27.41114177 0
469 21.16477965 25.52000485 0
470 23.07221166 29.28955802 0
471 19.09979689 22.87086145 0
472 12.74905484 15.27427693 0
473 17.46791596 21.92452222 0
474 19.88040125 26.08769885 0
475 13.77400669 15.2068675 0
476 14.70525765 19.35929397 0
477 17.10286068 21.39600777 0
478 9.013538551 NA 0
479 16.66179657 19.82542216 0
480 18.80230192 22.55317545 0
481 17.2645007 23.30387135 0
482 18.10581014 22.22246219 0
483 10.93540993 11.56820709 0
484 18.10558391 23.2240392 0
485 19.16035273 23.23841825 0
486 5.289722699 NA 0
487 13.09962902 NA 0
488 12.39015465 NA 0
489 13.83565702 17.76966171 0
490 6.085341742 NA 0
491 11.78970371 NA 0
492 15.32637968 19.27255445 0
493 16.3873812 20.60310514 0
494 15.4894615 18.55229354 0
495 20.77451523 26.15422471 0
496 14.0252022 17.60802427 0
497 18.58264181 24.11420526 0
498 19.52251947 22.28013167 0
499 23.02806715 30.36670438 0
500 18.49800879 19.81624357 0
501 17.65428262 20.51751062 0
502 23.48102065 30.68268301 0
503 22.00699992 26.57601913 0
504 5.638555841 NA 0
505 11.15053481 NA 0
506 18.0488686 19.7026453 0
507 24.64443399 29.56168624 0
508 20.73655337 24.81204923 0
509 10.39195881 NA 0
510 6.424607307 NA 0
511 22.53177329 25.46664501 0
512 5.520180493 NA 0
513 19.49435916 26.69783024 0
514 16.75881423 18.44965234 0
515 16.94792503 19.97685403 0
516 12.50547205 NA 0
517 9.305779528 9.595628132 0
518 7.988716572 NA 0
519 19.86605049 24.2618909 0
520 17.99581639 21.80336476 0
521 24.13924976 29.8109177 0
522 20.97200676 26.12842615 0
523 11.5686614 NA 0
524 20.94899912 23.74613577 0
525 20.5730421 24.92722007 0
526 14.70039821 16.94851915 0
527 17.20327265 20.56298097 0
528 22.28827664 30.2588922 0
529 16.59960361 19.97373156 0
530 16.21402162 18.52795712 0
531 17.35547563 21.40624146 0
532 14.24014658 15.09033258 0
533 6.949181104 NA 0
534 4.260196694 NA 0
535 18.15447302 24.23050913 0
536 9.386927779 NA 0
537 9.925725554 NA 0
538 9.917034886 NA 0
539 15.12736372 16.75952475 0
540 10.9807418 13.46907928 0
541 6.375691055 NA 0
542 11.69958598 13.29922805 0
543 5.606166629 NA 0
544 4.634335638 NA 0
545 16.34418763 22.87368427 0
546 17.48141412 21.72115419 0
547 14.44198605 17.75079061 0
548 15.50317567 20.48424696 0
549 17.87393393 20.71224468 0
550 12.83923377 NA 0
551 19.0981629 22.87090335 0
552 14.47928646 17.36593625 0
553 18.90284383 25.03049737 0
554 19.85510923 24.08514174 0
555 9.282047011 NA 0
556 13.97235774 16.2444936 0
557 17.66405889 19.42764682 0
558 6.374119846 NA 0
559 12.59229874 14.89558243 0
560 13.92791976 14.46632286 0
561 6.629752197 NA 0
562 13.79751909 16.90556909 0
563 17.75099009 21.49226271 0
564 12.35020056 NA 0
565 18.68844445 22.44418801 0
566 14.17369692 15.93105087 0
567 15.56340177 18.23981507 0
568 16.09203068 21.55950323 0
569 5.610327812 NA 0
570 12.72158822 14.72184151 0
571 13.95361311 14.23555075 0
572 15.65109133 20.36482169 0
573 5.423399296 NA 0
574 16.75646561 20.93047023 0
575 13.80069274 16.32682505 0
576 13.42614138 17.04395437 0
577 14.0112076 14.63111654 0
578 14.22987525 17.50964791 0
579 6.524566248 NA 0
580 11.79802867 12.85978794 0
581 17.62676652 20.94606646 0
582 18.73656976 23.62256867 0
583 5.64619218 NA 0
584 6.734703738 NA 0
585 14.29407524 16.97670462 0
586 7.495508258 NA 0
587 20.64435809 28.50980684 0
588 3.720138022 NA 0
589 15.20155802 17.50660271 0
590 17.88578101 21.22616648 0
591 18.22801735 19.35547221 0
592 18.20729722 20.8033975 0
593 6.562082777 NA 0
594 16.90234362 21.25084202 0
595 15.18212814 19.452236 0
596 3.065115757 NA 0
597 4.813516421 NA 0
598 11.6655916 13.1001632 0
599 8.103259302 NA 0
600 19.01101261 24.15645678 0
601 18.09531575 23.63383107 0
602 15.52675972 17.23385737 0
603 17.52336976 21.1280791 0
604 11.39563768 12.47404534 0
605 10.31476086 NA 0
606 10.29999171 10.82670426 0
607 10.40847425 10.68693636 0
608 9.350698844 9.618228806 0
609 10.06148634 NA 0
610 16.48997695 17.56544571 0
611 8.303534742 NA 0
612 12.46458774 NA 0
613 9.504703716 NA 0
614 17.194773 20.96343542 0
615 19.96724331 24.19293084 0
616 15.64183695 18.33008446 0
617 17.91680779 22.07523613 0
618 10.8734611 11.46638037 0
619 19.10822956 24.49097254 0
620 9.688146294 10.15877036 0
621 15.42864481 18.33647799 0
622 21.12113861 28.06010843 0
623 14.57385368 NA 0
624 25.37328499 30.98335193 0
625 7.068522846 NA 0
626 20.70098435 26.43074572 0
627 13.50346256 NA 0
628 9.653146684 10.80488902 0
629 2.88701282 NA 0
630 21.17829255 27.07249608 0
631 3.963079022 NA 0
632 7.163288621 NA 0
633 19.98608832 26.38029387 0
634 18.0016886 22.47392002 0
635 19.27976057 23.12395137 0
636 5.519927843 NA 0
637 11.83267471 13.37056562 0
638 14.71936076 19.05682179 0
639 18.2153486 24.53284772 0
640 14.36011813 NA 0
641 7.694797247 NA 0
642 17.29268985 22.78795336 0
643 17.44375506 19.94626554 0
644 17.34580521 20.86311261 0
645 2.561171852 NA 0
646 7.534488245 NA 0
647 20.1506369 22.39515709 0
648 8.150134212 NA 0
649 15.58982736 19.47174676 0
650 10.94160303 12.29309323 0
651 11.42409508 13.13116144 0
652 7.230928026 NA 0
653 7.872351954 NA 0
654 10.86681332 12.76706602 0
655 17.84839815 24.3035599 0
656 13.94294807 18.26280838 0
657 11.17091431 13.48147879 0
658 7.146779058 NA 0
659 14.98621981 18.81621619 0
660 4.463776633 NA 0
661 14.75075307 19.62048349 0
662 15.93290917 17.72168652 0
663 4.490448775 NA 0
664 18.25151869 23.6267634 0
665 8.609569412 NA 0
666 15.76611271 20.20696823 0
667 7.83297909 NA 0
668 18.3007125 23.54918072 0
669 11.49279292 12.5051646 0
670 16.08399134 18.09874172 0
671 2.802040951 NA 0
672 8.404153689 NA 0
673 17.22952623 21.54261348 0
674 15.86098093 NA 0
675 15.59148562 21.13124233 0
676 18.52415824 23.78892478 0
677 12.38178971 13.76700423 0
678 17.55712129 21.13522467 0
679 15.33047911 17.50790538 0
680 16.14349353 18.14800809 0
681 17.54304338 19.62118495 0
682 21.43206242 28.28878933 0
683 22.32659477 27.63424901 0
684 11.56957165 14.89138779 0
685 12.06713457 14.31631433 0
686 3.014267628 NA 0
687 9.909556253 11.01286251 0
688 8.506134561 NA 0
689 11.98451166 14.16647707 0
690 18.60955786 25.73984044 0
691 17.75969905 21.76670719 0
692 13.96497285 15.73043118 0
693 10.8680592 NA 0
694 7.854429918 NA 0
695 10.6401034 NA 0
696 20.49818388 25.74911176 0
